code;name;street_adress;number_adress;district_adress;cep_adress;phone;id_zone_adress
44325;EM PROFESSOR MARCILIO FLAVIO RANGEL DE FARIAS;RUA SANTO ADRIANO VL STA BARBARA;2296;VERDE LAR;64071440;8632349881;3
44326;EM ORLANDO GERALDO REGO DE CARVALHO;RUA ANA HELENA BASILIO VL F FILHO;573;PARQUE POTI;64081270;8632161975;1
44327;EM MACHADO DE ASSIS;VILA PARIS;2349;RENASCENCA;64082150;8632162221;3
44329;EM VINICIUS DE MORAES;RUA JOSE HUMBERTO BRONCA;6603;SAO SEBASTIAO;64085150;8632167804;3
44330;EM MARIO QUINTANA;CONJUNTO RESIDENCIAL FORTES;962;COMPRIDA;64076115;8632355678;3
44331;CMEI SANTA BARBARA;RUA NOSSA SENHORA DAS GRACAS VL STA BARBARA;7947;VERDE LAR;64071570;8632343285;3
44332;CMEI FRANCISCA MARQUES;RUA TELEGRAFISTA SEBASTIAO PORTELLA;3143;SAO JOAO;64046480;8632329370;1
44333;EM JORNALISTA DEOCLECIO DANTAS;RUA PROJETADA;6348;VALE DO GAVIAO;64069010;8632345594;1
44334;CMEI FRANCISCA FERREIRA DA SILVA - TIA FANNY;RUA CONTORNO RODOVIARIO NORTE;6556;VALE DO GAVIAO;64069100;8632314475;1
44335;CMEI TIO ALESSANDRO;RUA JEQUIE;7461;PEDRA MOLE;64066340;8632316349;1
44336;CMEI TOM JOBIM;VIA ESTRUTURAL LESTE 06;5867;MORROS;64062300;8632342186;1
44337;CMEI JORGE AMADO;RUA PROMOTOR JOSE METON FILHO;5151;VERDE LAR;64071705;8698410785;1
44338;EM PROFESSOR OLIMPIO CASTRO DE OLIVEIRA;RUA PROMOTOR MILTON TAVARES;6395;VALE DO GAVIAO;64069085;8632306185;1
44339;CMEI ANTONIO DE NORONHA PESSOA FILHO;CONJUNTO SIGEFREDO PACHECO I;S/N;VALE DO GAVIAO;64069100;86994687862;1
44340;CMEI EDUARDO HENRIQUE ACCIOLY CAMPOS;RUA ARISTIDES SARAIVA DE ALMEIDA;454;SANTA ISABEL;64053300;86999448844;1
44341;CMEI PROFESSORA NOELIA MARANHAO DA COSTA E SILVA;LOTEAMENTO VALE DO GAVIAO;6000;VALE DO GAVIAO;64069430;86999083568;1
44400;EM CLODOALDO FREITAS;AVENIDA DOUTOR JOSUE DE MOURA SANTOS;1553;PEDRA MOLE;64066430;8632157911;1
44402;EM SANTA MARIA DAS VASSOURAS;RUA TENENTE ARAUJO;1374;SANTA MARIA;64012570;8632154143;2
44403;EM MARIANO ALVES DE CARVALHO;AVENIDA POTI VELHO;5760;SANTA MARIA;64012760;8632157678;2
44405;EM PROFESSORA DARCY PEREIRA DE CARVALHO;RUA CAXIAS;5675;SANTA MARIA;64013100;8632157967;2
44406;EM AURINO NUNES;RUA JOAO ISIDORO FRANCA;S/N;POTI VELHO;64008010;8632111451;2
44410;EM CONSELHEIRO SARAIVA;AREA RURAL;S/N;AREA RURAL DE TERESINA;64099899;8632381022;2
44412;EM MINISTRO RUBEN LUDWIG;RUA VALINHOS;7681;CIDADE JARDIM;64066345;8632316110;1
44413;EM RESIDENCIAL PEDRA MOLE;CONJUNTO PEDRA MOLE;2461;CIDADE JARDIM;64066000;8632157925;1
44414;EM PROFESSOR ITAMAR DE SOUSA BRITO;RUA MACAE;7461;PEDRA MOLE;64066350;8632316598;1
44415;EM DELFINA BORRALHO BOA VISTA;RUA ADAMANTINA;8065;PEDRA MOLE;64066540;8632157918;1
44416;EM SANTA MARIA DA CODIPI;RUA FRANCISCO MAGNOLIA;1435;SANTA MARIA;64012470;8632157982;2
44417;EM PROFESSOR JOSE GOMES CAMPOS;RUA CHICO CONRADO;2525;SANTA MARIA;64012590;8632157988;2
44418;EM GOVERNADOR CHAGAS RODRIGUES;RUA A JOSE WILSON RIBEIRO RES FRANCISCA TRINDADE;4151;SANTA MARIA;64012352;8632267185;2
44419;EM POETA DA COSTA E SILVA;QUADRA ADRA 06 CJ RES JACINTA ANDRADE;6155;JACINTA ANDRADE;64013455;8632134708;2
44420;EM PROFESSOR UBIRACI CARVALHO;RUA RITMISTA ORLANDO NASCIMENTO A RESSURREICAO;7050;GURUPI;64090295;8632338608;3
44421;CMEI JULIO ROMAO;RUA SANTA LUZIA;860;GURUPI;64090430;8632319657;3
44422;CMEI RAMSES BAHURY DE SOUSA RAMOS;RUA CECY NEPOMUCENO PIRES;2250;BOM PRINCIPIO;64095050;8632359238;3
44423;CMEI JONAS PEREIRA DA SILVA;RUA CESAR DE NEGREIROS BARROS LOT M EVANGELISTA;3670;NOVO HORIZONTE;64080210;8632347086;3
44500;EM JOCA VIEIRA;RODOVIA PI 113 KM 16;S/N;ESTACA ZERO;64059990;8632157644;1
44501;EM VEREADOR VIEIRA TORANGA;AREA POVOADO SANTA RITA;S/N;POVOADO SANTA RITA;64000180;8632323703;1
44503;EM SANTA TERESA;POVOADO SANTA TERESA;S/N;;64058990;8632157643;1
44504;EM NOSSA SENHORA DO AMPARO;POVOADO VOADO SANTA TERESA;S/N;SANTA TERESA;64000180;8632356529;1
44505;EM DEOCLECIO CARVALHO;PI 113 - POVOADO COROATA;S/N;ZONA RURAL LESTE;64053860;8632221243;1
44540;CMEI MARIA JOSE ARCOVERDE;RUA DESEMBARGADOR BERILO MOTA;SN;ITARARE;64078213;8632367847;3
44541;EM LEA LEAL;AVENIDA GIOVANE PRADO;3730;SATELITE;64059250;8632345865;1
44542;EM LUNALVA COSTA;RUA CINQUENTA E QUATRO DIRCEU II;3311;ITARARE;64078198;8632369080;3
44543;EM MYRIAM PORTELLA NUNES;RUA DESEMBARGADOR TOMAZ CAMPELO;5763;SACI;64020345;8632164447;4
44544;CMEI TIA ANITA GAYOSO;AVENIDA DUQUE DE CAXIAS;4240;AGUA MINERAL;64006245;8632254746;2
44545;CMEI DONA ODINEA;RUA ENGENHEIRO MIGUEL FURTADO BACELLAR;3895;BUENOS AIRES;64009280;8632251000;2
44546;CMEI HERCILIA TORRES DE ALMEIDA;RUA AGNELO RUFINO;6300;PARQUE PIAUI;64025275;8632219043;4
44547;EM PROFESSORA ESTHER COUTO;RUA CEM;22222;PARQUE PIAUI;64025370;8632117772;4
44548;CMEI PROFESSORA HILDETE;RUA PADRE CICERO;3690;SANTO ANTONIO;64033510;8632111909;4
44549;CMEI TIA EUTALIA;RUA CINQUENTA E QUATRO DIRCEU II;3455;ITARARE;64078198;8632363945;3
44550;CMEI MARIA AUGUSTA DE JESUS;RUA DOUTOR PEDRO TEIXEIRA;S/N;ITARARE;64078345;8632369395;3
44551;CMEI TIA TANIA;RUA CRISTAL;2865;REAL COPAGRI;64007320;8632256175;2
44552;CMEI BERNARD VAN LEER;RUA CARAJAS;4010;ITARARE;64078548;8632355838;3
44553;CMEI PRESIDENTE MEDICE;RUA CORONEL BELISARIO DA CUNHA;150;SAO CRISTOVAO;64052150;8632324686;1
44554;CMEI MIRIAN FURTADO;RUA CRISTO REDENTOR;2320;TRES ANDARES;64017705;8632166217;4
44555;EM MINHA CASA;RUA RUI BARBOSA ZONA NORTE;3542;MATADOURO;64004285;8632162638;2
44556;CMEI TIA LULUZINHA;RUA JOSE MARQUES DA ROCHA;3315;MEMORARE;64009100;8632256211;2
44557;CMEI TIA JANE;AVENIDA BOA ESPERANCA;4998;SAO JOAQUIM;64004065;8632179582;2
44560;CMEI CLARICE LISPECTOR;RUA ESTUDANTE FABIO CESAR;2010;GURUPI;64090175;8632324200;3
44561;CMEI CINTIA MEDEIROS DE OLIVEIRA;RUA CESAR DE NEGREIROS BARROS LOT M EVANGELISTA;3704;NOVO HORIZONTE;64080210;8632347099;3
44562;CMEI TIA GRACA NERI;RUA BENEDITINOS;537;SAO PEDRO;64019580;8632185236;3
44563;CMEI PADRE PEDRO BALZI;RUA FLOR DO TEMPO;S/N;SAO SEBASTIAO;64085355;8632162306;3
44564;CMEI PROFESSORA MARIA DO AMPARO FERREIRA DE ALENCAR;RUA LUIZ ANTONIO SOUSA;6500;VALE DO GAVIAO;64069205;8632374347;1
44565;CMEI ERICO VERISSIMO;POVOADO VOADO TABOCA DO PAU FERRADO;S/N;POVOADO TABOCA DO PAU FERRADO;64000180;86999037939;3
44566;CMEI ANDRE DIUARE ALMEIDA CARVALHO;RUA DOUTOR ARQUELAU SIQUEIRA AMORIM;4611;PARQUE SUL;64036440;8632200779;4
44600;EM ANGELIM;RUA PEDRO PORTELA;1425;ANGELIM;64034360;8632157961;4
44603;EM NOSSA SENHORA DO PERPETUO SOCORRO;RUA 20;S/N;ANGELIM;64041340;8632157674;4
44604;EM PIRIPIRI;RODOVIA DOVIA PI-130;KM19;ANGELIM;64034070;8632195146;4
44614;EM CORONEL BOA VISTA;POVOADO VOADO FAZENDA NOVA;S/N;POVOADO FAZENDA NOVA;64000180;8694601997;4
44617;EM SANTA FE;CONJUNTO SANTA FE;1345;SANTA CRUZ;64000180;8632157963;4
44700;EM SAO SEBASTIAO;RUA QUINZE DE NOVEMBRO;2254;TODOS OS SANTOS;64088630;8632157891;3
44701;EM ANTONIO FERRAZ;RUA SANTO ANTONIO;1872;TODOS OS SANTOS;64088550;8632311972;3
44702;EM BOM PRINCIPIO;AVENIDA PROFESSOR CAMILO FILHO - DE 12 AO FIM;7211;BOM PRINCIPIO;64095080;8632359287;3
44703;EM ARTHUR MEDEIROS CARNEIRO;AVENIDA PROFESSOR CAMILO FILHO;S/N;SANTANA;64097005;86994098466;3
44704;EM ANGOLA;POVOADO ANGOLA;S/N;ANGOLA;64000180;8632217970;3
44705;EM TOMAS DE OLIVEIRA LOPES;POVOADO FORMOSA;S/N;POVOADO FORMOSA;64000180;8632157941;3
44707;EM AREOLINO LEONCIO DA SILVA;POVOADO BOQUINHA;S/N;AREA RURAL DE TERESINA;64000180;86988271695;3
44709;EM CENTRO DOS AFONSINHOS;LOCALIDADE CENTRO DOS AFONSINHOS;S/N;AREA RURAL DE TERESINA;64099899;86988322601;3
44710;EM CORONEL PEDRO BORGES;LOTEAMENTO INA SANTANA;S/N;SANTANA;64000180;8632239951;3
44802;EM JOSE IVAN FILHO;POVOADO CANAA;S/N;POVOADO CANAA;64000180;8632318344;1
44803;EM GURUPA DE BAIXO;CAIXA POSTAL COMUNITARIA PI 112, S/N POVOADO GURUPA DE BAIXO;S/N;ZONA RURAL LESTE;64067991;8632317987;1
44805;EM BAIXAO DO CARLOS;POVOADO BAIXAO DO CARLOS;S/N;AREA RURAL DE TERESINA;64000180;8632317534;1
44806;EM SAO GERALDO;PI 112 KM 14 POVOADO SAO GERALDO;S/N;SOCOPO;64000180;8632317999;1
44807;EM JOAQUIM MARINHO DE MACEDO;CAIXA POSTAL COMUNITARIA PI - 112 - KM 18;S/N;ZONA RURAL LESTE;64067990;86981363081;1
44808;EM SANTA FILOMENA;POVOADO VOADO DOIS IRMAOS;S/N;POVOADO DOIS IRMAOS;64000180;8632157646;1
44809;EM FAZENDA SOARES;AREA 112 LOCALIDADE FAZENDA SOARES;S/N;AREA RURAL DE TERESINA;64099899;8632348392;1
44810;EM HERMELINDA DE CASTRO;RODOVIA O VICENTE;S/N;SAO VICENTE;64065990;8632157645;1
44811;EM CAJAZEIRAS;RODOVIA O VICENTE;S/N;SAO VICENTE;64065990;8632157923;2
44812;EM LAURINDO DE CASTRO;POVOADO FAZENDA BOQUEIRAO;S/N;POVOADO BOQUEIRAO;64000180;8699582699;1
44815;EM ANTONIO TERTO;POVOADO MARAMBAIA - PI 112 KM 24 - ZONA RURAL;S/N;ZONA RURAL;64000180;8632348317;1
44816;EM CACIMBA VELHA;POVOADO CACIMBA VELHA;S/N;CACIMBA VELHA;64057990;8632157640;1
44817;EM RAIMUNDO ADAO;CAIXA POSTAL COMUNITARIA ESTRADA VALE QUEM TEM/CACIMBA VELHA, S/N;S/N;;64057990;8632317127;1
44818;EM TAPUIA;UNIDADE COMUNIDADE POVOADO TAPUIA;S/N;SOCOPO;64063015;8632317102;1
44819;EM TEODORO MACHADO COELHO;POVOADO TABOCAS;S/N;ZONA RURAL - LESTE;64057990;86988287905;1
44820;EM CORACAO DE JESUS;AREA POVOADO CAJAIBA;S/N;AREA RURAL DE TERESINA;64000180;8632317158;1
44821;EM CAMPESTRE NORTE;CAIXA POSTAL COMUNITARIA ESTRADA TERESINA/FAZENDA NOVA;S/N;RURAL;64041990;8632382010;1
44903;EM DONA IZABEL PEREIRA;AREA POVOADO ATALAIA;S/N;POVOADO ATALAIA/ZONA RURAL;64000180;86981078545;3
44911;EM ANTONIO LEONEZ;POVOADO CHAPADINHA SUDESTE;S/N;AREA RURAL DE TERESINA;64000180;86999508962;3
44917;CMEI LIMOEIRO;POVOADO VOADO CAMPESTRE;S/N;CAMPESTRE;64000180;86988002378;3
44918;EM MANOEL NOGUEIRA LIMA;RODOVIA - 316 - KM 24;S/N;POVOADO CHAPADINHA SUL;64022990;86994134919;4
44920;EM SAO JOSE;POVOADO VOADO CANTINHO SUL;S/N;CANTINHO SUL;64000180;86988961596;4
44929;EM SERAFIM;AREA POVOADO SERAFIM;S/N;AREA RURAL SUL DE TERESINA;64000180;8632370581;4
44930;EM SOIM;RUA OSCAR FILHO/ POVOADO SOIM;S/N;SOCOPO;64063200;8632370665;1
44931;EM MANOEL ALVES DE OLIVEIRA;RODOVIA - 343 - KM 17;S/N;POVOADO TABOCA DO PAU FERRADO;64090990;86994154695;3
44938;EM NOSSA SENHORA DA PAZ INICIAL;RUA PIRACURUCA;3146;TRES ANDARES;64017780;8633050180;4
44940;EM PROFESSOR MANOEL PAULO NUNES;AVENIDA ZEQUINHA FREIRE - LADO IMPAR;4415;PORTO DO CENTRO;64060800;8632157921;1
44941;EM PADRE ANGELO IMPERIALLI;AVENIDA PRESIDENTE JANIO QUADROS;1891;SANTA LIA;64058780;8632157889;1
44942;EM ROBERTO CERQUEIRA DANTAS;RUA AMADEUS PAULO;2720;SANTA MARIA;64012660;8632157683;2
44943;EM ALICE PIRES DO NASCIMENTO;RUA CAJUEIRO;S/N;SANTA LUZIA;64020150;86981644608;4
98100;CMEI LOUVOR E VIDA;RUA FLORESTAL;540;AGUA MINERAL;64009490;8632259292;2
98102;CMEI JOSE DE FATIMA DE SOUSA BEZERRA;RUA BOM JESUS;3642;MEMORARE;64009230;8632252915;2
98104;CMEI MIRIAM III;QUADRA 18 CASA 18 MOCAMBINHO - SETOR B;18;MOCAMBINHO;64010220;86988270771;2
98105;CMEI 1º DE MAIO;RUA MOTORISTA GENESIO CARVALHO;613;AGUA MINERAL;64007650;8632257658;2
98201;CMEI CASSIA CRISTINA;RUA PROFESSOR PAULO FREIRE;758;SANTA CRUZ;64000180;8632276195;4
98202;CMEI VOVO LAIS;RUA HENRIQUETA TEIXEIRA;2091;SANTO ANTONIO;64028130;8632196759;4
98203;CMEI JESUS DIOCESANO;PARQUE ADRA PARQUE PIAUI - DE 6667 A 6768;1551;PARQUE PIAUI;64025050;8632276480;4
98204;EM ROSANGELA REIS;QUADRA ADRA 12 CJ STA FE;S/N;SANTA CRUZ;64028876;8632165068;4
98206;CMEI LUTERANO;AVENIDA PREFEITO WALL FERRAZ - LADO PAR;7200;PARQUE PIAUI;64025468;8632345007;4
99100;CMEI PADRE EDUARDO;CONJUNTO SAO JOAQUIM;4535;SAO JOAQUIM;64005450;8632174693;2
99102;CMEI APOLONIA CARVALHO;VILA APOLONIA;257;SAO JOAQUIM;64005410;8632179464;2
99103;CMEI NATUREZA;RUA DOM AVELAR;3170;BUENOS AIRES;64008290;8632257766;2
99104;CMEI PEIXE VIVO;ALAMEDA AMEDA DOMINGOS JORGE VELHO;6766;POTI VELHO;64004800;8632141133;2
99105;CMEI MONTE VERDE;RUA AMADEUS PAULO;4530;SANTA ROSA;64011030;8694629456;2
99106;CMEI TIA SABINA;RODOVIA DOVIA PI - 112 KM - 22;S/N;SANTA LUZ DE BAIXO;64067994;8632381603;1
99107;CMEI SANTA TERESINHA;RUA 02;S/N;CAMPESTRE;64041990;8632382015;1
99108;CMEI PARQUE FIRMINO FILHO;QUADRA ADRA S RES PAULO DE TARSO;2170;SANTA MARIA;64012840;8632259468;2
99109;CMEI VILA PANTANAL II;RUA GASTON DE GRESLAN;2000;PARQUE ALVORADA;64004450;8632139464;2
99110;CMEI TIA REGINA NAPOLEAO;RUA PADRE GERALDO;634;MAFRENSE;64005610;8632175832;2
99111;CMEI SANTA MARIA DAS VASSOURAS;RUA CHICO CONRADO;1160;SANTA MARIA;64012590;8632111330;2
99113;CMEI PARQUE WALL FERRAZ;RUA MARIA JOSE DE MELLO FREITAS;2330;SANTA MARIA;64013030;8632111379;2
99114;CMEI SANTA MARIA DA CODIPI;RUA FRANCISCO MAGNOLIA;2800;SANTA MARIA;64012470;8632111122;2
99115;CMEI FRANCISCO DE ASSIS;RUA MARIA LUZIA VILLA;5790;MOCAMBINHO II;64010372;8632166063;2
99200;CMEI TIA ANITA;RUA PEDRO PORTELA;1387;ANGELIM;64034360;8632117497;4
99202;CMEI ENILSON CARVALHO;RUA TENENTE TADEU;3421;SANTO ANTONIO;64028180;8632119382;4
99204;CMEI RESIDENCIAL ESPLANADA;RUA SAO VALENTINO LOT 7 ESTRELAS;7610;ANGELIM;64040060;8632191221;4
99205;CMEI ANGELIM IV;RUA CAPITAO GABRIEL LEITE;1434;ANGELIM IV;64034425;8632166213;4
99206;CMEI RESIDENCIAL BETINHO;AVENIDA MANOEL FERNANDES DE OLIVEIRA;1546;ANGELIM;64034440;8632209522;4
99207;CMEI VILA CLEMENTE FORTES;AVENIDA DEPUTADO ULISSES GUIMARAES - LADO IMPAR;1950;PROMORAR;64027330;8632166228;4
99209;CMEI VILA CAROLINA SILVA;RUA DONA FRANCISCA CLAUDINO VL CAROLINA;1035;DISTRITO INDUSTRIAL;64027455;8632113026;4
99210;CMEI BOM JESUS WALL FERRAZ;RUA PAPAGAIO;186;SANTA CRUZ;64028565;8632203999;4
99211;CMEI IRMA DULCE;RUA BAU VL IRMA DULCE;3256;ANGELIM;64040542;8632193859;4
99212;CMEI PROFESSOR WALL FERRAZ;POVOADO VOADO CERAMICA CIL;2330;CERAMICA CIL;64000180;8632195191;4
99214;CMEI VILA TIRADENTES;RUA CRUZEIRO DO SUL;378;SANTO ANTONIO;64033090;8632166212;4
99215;CMEI SANTA HELENA;RUA MANOEL VITOR CORDEIRO;5950;BRASILAR;64035410;8632192003;4
99216;CMEI VILA CONCORDIA E MORADA NOVA;RUA RADIALISTA BENEDITO DE ASSIS;3168;BELA VISTA;64031085;8632213171;4
99300;CMEI VILA BANDEIRANTES;RUA DOM BOSCO;4920;PORTO DO CENTRO;64060742;8632345879;1
99301;CMEI PARQUE ANITA FERRAZ;RUA TIMORANTE;S/N;TABAJARAS;64067160;8632345660;1
99303;CMEI PARQUE MAO SANTA;RUA DEZENOVE;6140;VALE QUEM TEM;64057610;8632306346;1
99304;CMEI BOM SAMARITANO;RUA SAO CAMILO;1269;CAMPESTRE;64053795;8632303758;1
99305;CMEI DONA MARIA DE JESUS ARAUJO SILVEIRA;RUA SALITRE;7800;PEDRA MOLE;64066080;8632303003;1
99306;CMEI VILA DO AVIAO;RUA NAMBU VL AVIAO;1021;PEDRA MOLE;64065130;8632318121;1
99307;CMEI CIDADE LESTE;RUA SATURNINO ROLINS MORAIS;5437;VERDE LAR;64071060;8632344231;1
99308;CMEI TAPUIA;ESTRADA DA CAJAIBA, POVOADO TAPUIA;S/N;POVOADO TAPUIA;64000180;8632317064;1
99309;CMEI LADEIRA DO URUGUAI;RUA PROFESSORA JULIETA NEIVA NUNES;6397;URUGUAI;64073500;8632343631;1
99310;CMEI DOM AVELAR;RESIDENCIAL DOM AVELAR;3150;VALE QUEM TEM;64057560;8632349919;1
99311;CMEI PLANALTO URUGUAI;RUA JUIZ SALMON LUSTOSA NOGUEIRA RESIDENCIAL;6541;VALE QUEM TEM;64057235;8632345052;1
99400;CMEI NOSSA SENHORA DA GUIA;RUA GABRIEL SOARES;46;BEIRA RIO;64075510;8632365845;3
99401;CMEI NOVO MILENIO;CAMPO DIEGO MADEIRA CAMPOS;585;SAO SEBASTIAO;64084070;8632312223;3
99402;CMEI GILCA VANESSA;RUA RONDONIA;4011;NOVO HORIZONTE;64080050;8632357758;3
99404;CMEI VILA POTY II;RUA DEPUTADO PINHEIRO MACHADO;4103;RENASCENCA;64082330;8632311889;3
99408;CMEI MENINO JESUS;RUA DESEMBARGADOR ODORICO ROSA;4806;EXTREMA;64076385;8632357488;3
99409;CMEI TIO FERNANDO SANTIAGO;RUA LUIZ ALVES LIMA;1176;SANTANA;64097024;8632359785;3
99410;CMEI PARQUE ESPERANCA;RUA PROFESSOR JOSE DE SENA;100;EXTREMA;64076430;8632365233;3
99411;CMEI FREI DAMIAO;RUA CARLOS FEITOSA;979;GURUPI;64090030;8632161976;3
99412;CMEI VILA MARIANA FORTES;RUA ANCHIETA;2112;ITARARE;64078255;8632317396;3
99413;CMEI RESIDENCIAL FIRMINO FILHO;FORTE ADVOGADO JOSE FORTES NAPOLEAO DO REGO;5740;PARQUE POTI;64081050;8632347338;3
